instance,instanceType,avgSolvingTime,instanceResults,genInstance,genResults,status,iraceScore,totalTime,instanceHashValue
inst-9-510416220.dzn,unsat,0.3620622158050537,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.3620622158050537, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.205233, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-9.param,"{'status': 'sat', 'seed': 510416220, 'SRTime': 0, 'solverTime': 0.6554989814758301}",graded,-1.0,2.1246752738952637,208d2c8014aad483feadddac62f1ce51
inst-9-1489266180.dzn,sat,0.46206188201904297,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.46206188201904297, 'extra': {'objs': [(0.3339121341705322, 957.0), (0.3344273567199707, 858.0)], 'flattenStatus': 'ok', 'flattenTime': 0.206951, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-9.param,"{'status': 'sat', 'seed': 1489266180, 'SRTime': 0, 'solverTime': 1.098808765411377}",graded,-1.0,2.6780498027801514,28c069d7bca28ff35902fb3f2d067834
inst-3-1965286212.dzn,unsat,0.3642895221710205,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.3642895221710205, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.18656, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-3.param,"{'status': 'sat', 'seed': 1965286212, 'SRTime': 5.365954399108887, 'solverTime': 0.14271068572998047}",graded,-1.0,7.498307466506958,2fc1eef5a2dc4c43a87012f95427b482
inst-4-1965286212.dzn,unsat,0.36727213859558105,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.36727213859558105, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.163247, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-4.param,"{'status': 'sat', 'seed': 1965286212, 'SRTime': 4.615614891052246, 'solverTime': 0.12757420539855957}",graded,-1.0,6.63765287399292,350e9ae758e928cb4b0d01ba05cf8d47
inst-11-1489266180.dzn,unsat,0.361863374710083,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.361863374710083, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.181426, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-11.param,"{'status': 'sat', 'seed': 1489266180, 'SRTime': 0, 'solverTime': 4.868598699569702}",graded,-1.0,6.565959215164185,4565aa2c70c93744dc46760f333ec62a
inst-8-1489266180.dzn,unsat,0.364382266998291,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.364382266998291, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.188614, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-8.param,"{'status': 'sat', 'seed': 1489266180, 'SRTime': 0, 'solverTime': 4.674140691757202}",graded,-1.0,6.33599328994751,60ce95aa3d720f02fd75577592576ecc
inst-10-510416220.dzn,unsat,0.3647308349609375,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.3647308349609375, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.188351, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-10.param,"{'status': 'sat', 'seed': 510416220, 'SRTime': 0, 'solverTime': 3.6584322452545166}",graded,-1.0,5.290920257568359,6518dc7039a507407515cbe01e32520b
inst-7-1965286212.dzn,unsat,0.37220120429992676,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.37220120429992676, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.16107, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-7.param,"{'status': 'sat', 'seed': 1965286212, 'SRTime': 5.178358554840088, 'solverTime': 0.1463305950164795}",graded,-1.0,7.272775888442993,6d4d7af3661a6dadbc3e20e345de7f2a
inst-13-1222707704.dzn,unsat,0.3566551208496094,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.3566551208496094, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.220758, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-13.param,"{'status': 'sat', 'seed': 1222707704, 'SRTime': 0, 'solverTime': 0.737966775894165}",graded,-1.0,2.2905378341674805,6eb655a3c7a5262827f042a534516233
inst-8-735527639.dzn,unsat,0.38016581535339355,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.38016581535339355, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.190271, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-8.param,"{'status': 'sat', 'seed': 735527639, 'SRTime': 4.5688560009002686, 'solverTime': 0.14281725883483887}",graded,-1.0,6.948524236679077,7a9958736c25f5441ecb410e7a85ef29
inst-9-735527639.dzn,unsat,0.3594801425933838,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.3594801425933838, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.197817, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-9.param,"{'status': 'sat', 'seed': 735527639, 'SRTime': 1.618649959564209, 'solverTime': 0.09471797943115234}",graded,-1.0,3.4776270389556885,8059dd684b058ca652a6a537a2119624
inst-1-601225362.dzn,unsat,0.36296772956848145,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.36296772956848145, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.162757, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-1.param,"{'status': 'sat', 'seed': 601225362, 'SRTime': 0, 'solverTime': 3.867520332336426}",graded,-1.0,5.47298526763916,808e985ed95c0434d9e4817181079d35
inst-6-1965286212.dzn,unsat,0.2631850242614746,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2631850242614746, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.150371, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-6.param,"{'status': 'sat', 'seed': 1965286212, 'SRTime': 3.50046968460083, 'solverTime': 0.11302876472473145}",graded,-1.0,5.401562690734863,8126fcd33f769fa0f858a241e978ab94
inst-4-1489266180.dzn,unsat,0.36269187927246094,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.36269187927246094, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.181863, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-4.param,"{'status': 'sat', 'seed': 1489266180, 'SRTime': 0, 'solverTime': 4.508030891418457}",graded,-1.0,6.086078882217407,83efabf131bfa9a769383f609f2d12fe
inst-5-1965286212.dzn,unsat,0.2657506465911865,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2657506465911865, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.161309, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-5.param,"{'status': 'sat', 'seed': 1965286212, 'SRTime': 2.828289031982422, 'solverTime': 0.10066819190979004}",graded,-1.0,4.624437570571899,8624aafe82135f5fcaf6d6fd74f95155
inst-11-735527639.dzn,unsat,0.36314868927001953,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.36314868927001953, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.182556, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-11.param,"{'status': 'sat', 'seed': 735527639, 'SRTime': 4.588244676589966, 'solverTime': 0.1371476650238037}",graded,-1.0,6.678938865661621,8e6728b1523e7862d5a1dc03a005c584
inst-2-601225362.dzn,unsat,0.2630159854888916,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2630159854888916, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.153762, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-2.param,"{'status': 'sat', 'seed': 601225362, 'SRTime': 0, 'solverTime': 0.3851277828216553}",graded,-1.0,1.7818622589111328,909ef28bb375ce4c44c69602583b8ae8
inst-13-735527639.dzn,unsat,0.3611752986907959,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.3611752986907959, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.194491, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-13.param,"{'status': 'sat', 'seed': 735527639, 'SRTime': 2.629410982131958, 'solverTime': 0.09944415092468262}",graded,-1.0,4.6435301303863525,a1e723bdbe9a957787ec062a92946dc2
inst-5-601225362.dzn,unsat,0.3625328540802002,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.3625328540802002, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.173949, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-5.param,"{'status': 'sat', 'seed': 601225362, 'SRTime': 0, 'solverTime': 0.5265741348266602}",graded,-1.0,2.060145378112793,a4c9cc48007219ed5c036612ca6b0338
inst-12-510416220.dzn,unsat,0.36396050453186035,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.36396050453186035, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.188459, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-12.param,"{'status': 'sat', 'seed': 510416220, 'SRTime': 0, 'solverTime': 3.5922391414642334}",graded,-1.0,5.1743457317352295,a574d8776b7abdcaf109c7203ecc7024
inst-1-1965286212.dzn,unsat,0.36881422996520996,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.36881422996520996, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.191273, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-1.param,"{'status': 'sat', 'seed': 1965286212, 'SRTime': 4.673619270324707, 'solverTime': 0.12556719779968262}",graded,-1.0,6.664607763290405,c7d8b6404c93720979fc5f9f841af49d
inst-10-735527639.dzn,unsat,0.36322879791259766,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.36322879791259766, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.190898, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-10.param,"{'status': 'sat', 'seed': 735527639, 'SRTime': 4.253399133682251, 'solverTime': 0.1285707950592041}",graded,-1.0,6.308073997497559,e1175f480f0fe616b0fcec49bbb414eb
inst-2-1965286212.dzn,unsat,0.360454797744751,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.360454797744751, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.171915, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-2.param,"{'status': 'sat', 'seed': 1965286212, 'SRTime': 2.7412664890289307, 'solverTime': 0.09470510482788086}",graded,-1.0,4.635483026504517,e65225ff722ef6c85e0a6ad1d2e2dd81
inst-12-735527639.dzn,unsat,0.36368227005004883,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.36368227005004883, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.186277, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-12.param,"{'status': 'sat', 'seed': 735527639, 'SRTime': 4.271304130554199, 'solverTime': 0.12850427627563477}",graded,-1.0,6.316126585006714,ef7acb5efe256d8426c74ff4f550c1c4
inst-9-1222707704.dzn,unsat,0.46339964866638184,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.46339964866638184, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.232426, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-9.param,"{'status': 'sat', 'seed': 1222707704, 'SRTime': 0, 'solverTime': 0.13944149017333984}",graded,-1.0,2.1084423065185547,f8dcadce22817d39e8120cb80d411964
inst-9-601225362.dzn,unsat,0.3618593215942383,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.3618593215942383, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.200509, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-9.param,"{'status': 'sat', 'seed': 601225362, 'SRTime': 0, 'solverTime': 1.0289521217346191}",graded,-1.0,2.491102457046509,fb6272324bd892af516d77b9e06b4811
inst-6-601225362.dzn,unsat,0.36241674423217773,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.36241674423217773, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.167357, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-6.param,"{'status': 'sat', 'seed': 601225362, 'SRTime': 0, 'solverTime': 1.0892887115478516}",graded,-1.0,2.613865613937378,fd737b9b15f7721541415aed8007c2d4
