instance,instanceType,avgSolvingTime,instanceResults,genInstance,genResults,status,iraceScore,totalTime,instanceHashValue
inst-27-1047895682.dzn,unsat,0.26719045639038086,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.26719045639038086, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.122836, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-27.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.10733723640441895}",graded,-1.0,1.3534259796142578,03bf646bae45496ab5f514c00b15cade
inst-6-1047895682.dzn,unsat,0.3896055221557617,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.3896055221557617, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.16838, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-6.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.13384413719177246}",graded,-1.0,1.491004228591919,07d2e96138a6641b98822f3e2a49c543
inst-12-1047895682.dzn,unsat,0.2682318687438965,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2682318687438965, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.135052, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-12.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.14278554916381836}",graded,-1.0,1.4298999309539795,0aa0f5e7df95c689215a73b82bc94137
inst-17-1047895682.dzn,unsat,0.26735734939575195,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.26735734939575195, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.122891, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-17.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.12148189544677734}",graded,-1.0,1.3628036975860596,0ea2472a7bb553b5802f64736799a8d1
inst-10-1047895682.dzn,unsat,0.270491361618042,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.270491361618042, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.129338, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-10.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.1229548454284668}",graded,-1.0,1.4320037364959717,10f305f22df17bf85d167335843284db
inst-3-1047895682.dzn,unsat,0.2670440673828125,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2670440673828125, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.134254, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-3.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.10646605491638184}",graded,-1.0,1.3975086212158203,12d24e3145c556241183d8625c088394
inst-14-1047895682.dzn,unsat,0.2666342258453369,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2666342258453369, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.128668, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-14.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.11399531364440918}",graded,-1.0,1.3972084522247314,1f4618360cf3e17e5f809b5913611a5c
inst-25-1047895682.dzn,unsat,0.2650120258331299,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2650120258331299, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.134032, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-25.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.11373019218444824}",graded,-1.0,1.3512814044952393,215cff9b08f40523e254b01c21aa7e63
inst-13-1047895682.dzn,unsat,0.2687389850616455,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2687389850616455, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.138348, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-13.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.11821866035461426}",graded,-1.0,1.4449732303619385,293f83d358c22578d9e97b763ba04ec7
inst-9-1047895682.dzn,unsat,0.27028918266296387,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.27028918266296387, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.136647, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-9.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.10827398300170898}",graded,-1.0,1.3824286460876465,3b4eeaee19be4895043998d47d8f2154
